"position","const","created","modified","description","Title","Title type","Directors","RDLongoria rated","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"63","tt0492044","Sun May 12 17:20:25 2013","Sun May 12 17:20:25 2013","","The Haunting in Connecticut","Feature Film","Peter Cornwell","","5.9","92","2009","drama, horror, mystery, thriller","48625","2009-03-27","http://www.imdb.com/title/tt0492044/"
"64","tt1188729","Sun May 12 17:20:25 2013","Sun May 12 17:20:25 2013","","Pandorum","Feature Film","Christian Alvart","7","6.8","108","2009","action, horror, mystery, sci_fi, thriller","120371","2009-09-25","http://www.imdb.com/title/tt1188729/"
"65","tt0464154","Sun May 12 17:20:25 2013","Sun May 12 17:20:25 2013","","Piranha 3D","Feature Film","Alexandre Aja","","5.5","88","2010","comedy, horror","71893","2010-08-20","http://www.imdb.com/title/tt0464154/"
"66","tt1220634","Sun May 12 17:20:25 2013","Sun May 12 17:20:25 2013","","Resident Evil: Afterlife","Feature Film","Paul W.S. Anderson","","5.9","97","2010","action, adventure, horror, sci_fi","130003","2010-09-02","http://www.imdb.com/title/tt1220634/"
"67","tt0822847","Sun May 12 17:20:25 2013","Sun May 12 17:20:25 2013","","Priest","Feature Film","Scott Stewart","3","5.7","87","2011","action, fantasy, horror, sci_fi, thriller","96144","2011-04-26","http://www.imdb.com/title/tt0822847/"
"68","tt1093357","Sun May 12 17:20:25 2013","Sun May 12 17:20:25 2013","","The Darkest Hour","Feature Film","Chris Gorak","","4.9","89","2011","action, adventure, horror, sci_fi, thriller","48950","2011-12-22","http://www.imdb.com/title/tt1093357/"
"69","tt1438176","Sun May 12 17:20:25 2013","Sun May 12 17:20:25 2013","","Fright Night","Feature Film","Craig Gillespie","5","6.4","106","2011","comedy, horror","83834","2011-08-14","http://www.imdb.com/title/tt1438176/"
"70","tt0905372","Sun May 12 17:20:25 2013","Sun May 12 17:20:25 2013","","The Thing","Feature Film","Matthijs van Heijningen","4","6.2","103","2011","horror, mystery, sci_fi, thriller","94164","2011-10-10","http://www.imdb.com/title/tt0905372/"
"71","tt1714203","Sun May 12 17:20:25 2013","Sun May 12 17:20:25 2013","","Piranha 3DD","Feature Film","John Gulager","","3.8","83","2012","comedy, horror","31611","2012-05-11","http://www.imdb.com/title/tt1714203/"
"72","tt1713476","Sun May 12 17:20:25 2013","Sun May 12 17:20:25 2013","","The Bay","Feature Film","Barry Levinson","","5.6","84","2012","horror, mystery, sci_fi, thriller","19712","2012-09-13","http://www.imdb.com/title/tt1713476/"
"73","tt1989485","Sun May 12 17:20:25 2013","Sun May 12 17:20:25 2013","","Dead Before Dawn 3D","Feature Film","April Mullen","","4.9","88","2012","adventure, comedy, horror","2915","2012-09-28","http://www.imdb.com/title/tt1989485/"
